sup_bucket,mins,corners,sup_mean,cpm,game_state,side
28,4631.0,271,0.9951327433628319,0.058518678471172536,Drawing,Away
29,4418.0,258,1.662155172413793,0.058397464916251696,Drawing,Away
0,1057.0,21,-2.52,0.019867549668874173,Winning,Away
1,546.0,10,-1.9060169491525423,0.018315018315018316,Winning,Away
2,703.0,18,-1.5414655172413794,0.025604551920341393,Winning,Away
3,993.0,38,-1.3285087719298245,0.038267875125881166,Winning,Away
4,1026.0,15,-1.1773504273504274,0.014619883040935672,Winning,Away
5,1484.0,38,-1.035658914728682,0.025606469002695417,Winning,Away
6,1078.0,30,-0.9403703703703704,0.027829313543599257,Winning,Away
7,2047.0,60,-0.8668571428571428,0.029311187103077674,Winning,Away
8,1504.0,37,-0.7786206896551725,0.024601063829787235,Winning,Away
9,2124.0,76,-0.6951111111111111,0.035781544256120526,Winning,Away
10,1667.0,41,-0.6252380952380953,0.02459508098380324,Winning,Away
11,1531.0,41,-0.5468141592920354,0.026779882429784456,Winning,Away
12,1981.0,74,-0.46956896551724137,0.03735487127713276,Winning,Away
13,2573.0,73,-0.41524475524475524,0.028371550719005052,Winning,Away
14,2084.0,61,-0.3661,0.02927063339731286,Winning,Away
15,1952.0,73,-0.3027731092436975,0.03739754098360656,Winning,Away
16,2056.0,83,-0.23650485436893204,0.04036964980544747,Winning,Away
17,2094.0,64,-0.1801869158878505,0.030563514804202482,Winning,Away
18,2684.0,78,-0.14517241379310344,0.029061102831594635,Winning,Away
19,2441.0,80,-0.10188034188034188,0.03277345350266284,Winning,Away
20,2644.0,88,-0.03427350427350427,0.03328290468986384,Winning,Away
21,2957.0,74,0.04773913043478261,0.025025363544132567,Winning,Away
22,2937.0,98,0.10262711864406779,0.033367381681988426,Winning,Away
23,3258.0,104,0.15517241379310345,0.03192142418661756,Winning,Away
24,3400.0,126,0.26139344262295083,0.03705882352941176,Winning,Away
25,4210.0,130,0.3482758620689655,0.030878859857482184,Winning,Away
26,3398.0,121,0.5105555555555555,0.03560918187168923,Winning,Away
27,3411.0,124,0.7250862068965517,0.03635297566695984,Winning,Away
28,4658.0,210,0.9951327433628319,0.0450837269214255,Winning,Away
