rule,n_bets,bet_pct,total_pnl,roi,threshold,rule_family
EV >= 0.14,1358,0.13902538902538902,76.48599999999999,0.05632253313696612,0.14,EV (Poisson/Skellam)
EV >= 0.15,1172,0.11998361998361998,75.00399999999999,0.06399658703071671,0.15,EV (Poisson/Skellam)
EV >= 0.16,1014,0.1038083538083538,80.27799999999999,0.07916962524654832,0.16,EV (Poisson/Skellam)
EV >= 0.17,875,0.08957821457821458,75.24799999999999,0.08599771428571427,0.17,EV (Poisson/Skellam)
EV >= 0.18,739,0.07565520065520065,77.977,0.10551691474966171,0.18,EV (Poisson/Skellam)
EV >= 0.19,639,0.06541769041769042,84.74199999999999,0.1326165884194053,0.19,EV (Poisson/Skellam)
EV >= 0.2,546,0.055896805896805894,65.14,0.11930402930402931,0.2,EV (Poisson/Skellam)
EV >= 0.21,465,0.0476044226044226,65.94800000000001,0.1418236559139785,0.21,EV (Poisson/Skellam)
EV >= 0.22,393,0.04023341523341523,66.843,0.17008396946564885,0.22,EV (Poisson/Skellam)
EV >= 0.23,337,0.0345004095004095,64.198,0.19049851632047476,0.23,EV (Poisson/Skellam)
EV >= 0.24,285,0.029176904176904175,52.099,0.1828035087719298,0.24,EV (Poisson/Skellam)
EV >= 0.25,228,0.02334152334152334,39.28099999999999,0.1722850877192982,0.25,EV (Poisson/Skellam)
EV >= 0.26,192,0.019656019656019656,24.198,0.12603125,0.26,EV (Poisson/Skellam)
EV >= 0.27,159,0.016277641277641277,19.852999999999998,0.12486163522012578,0.27,EV (Poisson/Skellam)
EV >= 0.28,135,0.01382063882063882,14.471000000000002,0.1071925925925926,0.28,EV (Poisson/Skellam)
EV >= 0.29,112,0.011466011466011465,16.294,0.14548214285714287,0.29,EV (Poisson/Skellam)
EV >= 0.3,91,0.009316134316134317,8.995,0.09884615384615383,0.3,EV (Poisson/Skellam)
EV >= 0.31,80,0.00819000819000819,12.535,0.1566875,0.31,EV (Poisson/Skellam)
EV >= 0.32,65,0.006654381654381655,11.363999999999997,0.17483076923076918,0.32,EV (Poisson/Skellam)
EV >= 0.33,55,0.00563063063063063,10.644999999999998,0.1935454545454545,0.33,EV (Poisson/Skellam)
EV >= 0.34,44,0.0045045045045045045,15.858,0.3604090909090909,0.34,EV (Poisson/Skellam)
EV >= 0.35,38,0.0038902538902538903,12.315999999999999,0.32410526315789473,0.35,EV (Poisson/Skellam)
EV >= 0.36,35,0.0035831285831285833,11.453999999999999,0.3272571428571428,0.36,EV (Poisson/Skellam)
EV >= 0.37,30,0.003071253071253071,8.853,0.2951,0.37,EV (Poisson/Skellam)
EV >= 0.38,24,0.002457002457002457,7.1579999999999995,0.29824999999999996,0.38,EV (Poisson/Skellam)
EV >= -0.05,9383,0.9605855855855856,-131.8340000000001,-0.014050303740807853,-0.05,"EV (NB, residual uncertainty)"
EV >= -0.04,8705,0.8911752661752662,-97.16900000000007,-0.011162435381964396,-0.04,"EV (NB, residual uncertainty)"
EV >= -0.03,7887,0.8074324324324325,-69.01200000000006,-0.008750095093191334,-0.03,"EV (NB, residual uncertainty)"
EV >= -0.02,7097,0.7265561015561015,-13.573000000000064,-0.0019124982386924142,-0.02,"EV (NB, residual uncertainty)"
EV >= -0.01,6314,0.6463963963963963,45.82799999999996,0.007258156477668667,-0.01,"EV (NB, residual uncertainty)"
