League,Team,matches,corners,repeaters,repeater_rate
Netherlands Eredivisie,Roda JC,100,410,46,0.11219512195121951
Netherlands Eredivisie,Sparta Rotterdam,254,1160,150,0.12931034482758622
Netherlands Eredivisie,VVV,126,482,63,0.13070539419087138
Netherlands Eredivisie,Vitesse,322,1813,249,0.13734142305570876
Netherlands Eredivisie,Willem II,269,1186,150,0.12647554806070826
Portugal Primeira Liga,Academica,56,288,54,0.1875
Portugal Primeira Liga,Belenenses SAD,256,1134,142,0.12522045855379188
Portugal Primeira Liga,Benfica,347,2345,333,0.14200426439232408
Portugal Primeira Liga,Boavista,350,1568,226,0.1441326530612245
Portugal Primeira Liga,Braga,353,1984,267,0.1345766129032258
Portugal Primeira Liga,Casa Pia,90,392,48,0.12244897959183673
Portugal Primeira Liga,Desportivo Aves,101,508,67,0.13188976377952755
Portugal Primeira Liga,Desportivo Chaves,165,845,137,0.1621301775147929
Portugal Primeira Liga,Estoril,246,1160,173,0.14913793103448275
Portugal Primeira Liga,Estrela Amadora,56,257,42,0.16342412451361868
Portugal Primeira Liga,FC Arouca,218,1011,148,0.14638971315529178
Portugal Primeira Liga,FC Porto,345,2299,317,0.1378860374075685
Portugal Primeira Liga,Famalicao,186,868,110,0.12672811059907835
Portugal Primeira Liga,Feirense,100,457,59,0.12910284463894967
Portugal Primeira Liga,Gil Vicente,213,1037,137,0.13211186113789777
Portugal Primeira Liga,Guimaraes,352,2005,294,0.14663341645885286
Portugal Primeira Liga,Maritimo,292,1347,185,0.13734224201930215
Portugal Primeira Liga,Moreirense,319,1469,196,0.13342409802586794
Portugal Primeira Liga,Nacional,182,927,128,0.13807982740021574
Portugal Primeira Liga,Pacos Ferreira,259,1308,205,0.15672782874617738
Portugal Primeira Liga,Portimonense,230,1058,140,0.1323251417769376
Portugal Primeira Liga,Rio Ave,314,1558,259,0.1662387676508344
Portugal Primeira Liga,SC Farense,89,456,68,0.14912280701754385
Portugal Primeira Liga,Santa Clara,191,901,156,0.17314095449500555
Portugal Primeira Liga,Sporting,351,2256,281,0.12455673758865249
Portugal Primeira Liga,Tondela,232,1055,153,0.14502369668246445
Portugal Primeira Liga,Vitoria Setubal,188,861,106,0.12311265969802555
Portugal Primeira Liga,Vizela,99,495,73,0.14747474747474748
Spain La Liga,Almeria,110,483,63,0.13043478260869565
Spain La Liga,Athletic Bilbao,405,2188,301,0.13756855575868374
Spain La Liga,Atletico Madrid,400,2036,292,0.14341846758349705
Spain La Liga,Barcelona,382,2239,315,0.14068780705672176
Spain La Liga,CD Alaves,294,1153,117,0.10147441457068516
Spain La Liga,Cadiz,149,635,94,0.14803149606299212
Spain La Liga,Celta Vigo,401,1790,228,0.12737430167597766
Spain La Liga,Deportivo La Coruna,144,720,100,0.1388888888888889
Spain La Liga,Eibar,254,1305,180,0.13793103448275862
Spain La Liga,Elche,139,617,72,0.1166936790923825
Spain La Liga,Espanyol,321,1381,168,0.1216509775524982
Spain La Liga,Getafe,358,1480,200,0.13513513513513514
Spain La Liga,Girona,183,772,77,0.09974093264248704
Spain La Liga,Granada,254,1041,120,0.11527377521613832
Spain La Liga,Huesca,74,318,43,0.13522012578616352
Spain La Liga,Las Palmas,176,749,81,0.1081441922563418
Spain La Liga,Leganes,180,677,74,0.10930576070901034
Spain La Liga,Levante,253,1178,143,0.12139219015280135
Spain La Liga,Malaga,138,682,103,0.15102639296187684
Spain La Liga,Mallorca,181,761,100,0.1314060446780552
Spain La Liga,Osasuna,251,1055,114,0.1080568720379147
Spain La Liga,Rayo Vallecano,244,1230,161,0.13089430894308943
Spain La Liga,Real Betis,365,1709,223,0.1304856641310708
Spain La Liga,Real Madrid,390,2334,310,0.1328191945158526
Spain La Liga,Real Sociedad,405,2099,254,0.12101000476417341
Spain La Liga,Sevilla,400,2099,299,0.14244878513577894
Spain La Liga,Sporting Gijon,69,317,43,0.13564668769716087
Spain La Liga,Valencia,390,1830,227,0.12404371584699453
Spain La Liga,Valladolid,183,795,98,0.12327044025157233
Spain La Liga,Villarreal,400,1900,242,0.12736842105263158
